node_id,name,node_time,subpop_id,parent_id,color_trait_1,transmissibility_1
0,1.18,1,18,-1,#ff0000,1.7007989172574987
434,.,23,-1,0,#ff0000,1.7007989172574987
414,.,239,-1,434,#ff0000,1.7007989172574987
277,.,889,-1,414,#ff0000,1.7007989172574987
75,1526.7388,1526,7388,277,#ff0000,1.7007989172574987
245,.,1574,-1,277,#ff0000,1.7007989172574987
115,2146.8608,2146,8608,245,#ff0000,1.7007989172574987
210,3500.587,3500,587,245,#ff0000,1.7007989172574987
402,.,294,-1,414,#ff0000,1.7007989172574987
352,.,445,-1,402,#ff0000,1.7007989172574987
43,1107.7900,1107,7900,352,#ff0000,1.7007989172574987
282,.,726,-1,352,#ff0000,1.7007989172574987
211,3504.8841,3504,8841,282,#ff0000,1.7007989172574987
280,.,753,-1,282,#ff0000,1.7007989172574987
87,1682.822,1682,822,280,#ff0000,1.7007989172574987
276,.,894,-1,280,#ff0000,1.7007989172574987
56,1264.5601,1264,5601,276,#ff0000,1.7007989172574987
272,.,936,-1,276,#ff0000,1.7007989172574987
262,.,1051,-1,272,#ff0000,1.7007989172574987
225,.,2571,-1,262,#ff0000,1.7007989172574987
191,3315.29,3315,29,225,#ff0000,1.7007989172574987
217,3584.571,3584,571,225,#ff0000,1.7007989172574987
247,.,1458,-1,262,#ff0000,1.7007989172574987
233,.,2217,-1,247,#ff0000,1.7007989172574987
194,3364.9916,3364,9916,233,#ff0000,1.7007989172574987
207,3482.3352,3482,3352,233,#ff0000,1.7007989172574987
246,.,1466,-1,247,#ff0000,1.7007989172574987
119,2288.7025,2288,7025,246,#ff0000,1.7007989172574987
176,3104.8858,3104,8858,246,#ff0000,1.7007989172574987
267,.,985,-1,272,#ff0000,1.7007989172574987
153,2734.8786,2734,8786,267,#ff0000,1.7007989172574987
266,.,993,-1,267,#ff0000,1.7007989172574987
257,.,1179,-1,266,#ff0000,1.7007989172574987
79,1582.476,1582,476,257,#ff0000,1.7007989172574987
227,.,2393,-1,257,#ff0000,1.7007989172574987
140,2570.6185,2570,6185,227,#ff0000,1.7007989172574987
185,3241.1494,3241,1494,227,#ff0000,1.7007989172574987
259,.,1085,-1,266,#ff0000,1.7007989172574987
218,3605.6918,3605,6918,259,#ff0000,1.7007989172574987
242,.,1673,-1,259,#ff0000,1.7007989172574987
103,2007.6404,2007,6404,242,#ff0000,1.7007989172574987
193,3358.1780,3358,1780,242,#ff0000,1.7007989172574987
397,.,314,-1,402,#ff0000,1.7007989172574987
6,546.9481,546,9481,397,#ff0000,1.7007989172574987
391,.,333,-1,397,#ff0000,1.7007989172574987
328,.,523,-1,391,#ff0000,1.7007989172574987
83,1621.4963,1621,4963,328,#ff0000,1.7007989172574987
324,.,527,-1,328,#ff0000,1.7007989172574987
158,2788.2828,2788,2828,324,#ff0000,1.7007989172574987
305,.,574,-1,324,#ff0000,1.7007989172574987
125,2346.8215,2346,8215,305,#ff0000,1.7007989172574987
302,.,585,-1,305,#ff0000,1.7007989172574987
224,.,2682,-1,302,#ff0000,1.7007989172574987
164,2845.917,2845,917,224,#ff0000,1.7007989172574987
170,2970.777,2970,777,224,#ff0000,1.7007989172574987
301,.,587,-1,302,#ff0000,1.7007989172574987
198,3408.7097,3408,7097,301,#ff0000,1.7007989172574987
291,.,636,-1,301,#ff0000,1.7007989172574987
25,855.8434,855,8434,291,#ff0000,1.7007989172574987
203,3432.562,3432,562,291,#ff0000,1.7007989172574987
382,.,373,-1,391,#ff0000,1.7007989172574987
375,.,390,-1,382,#ff0000,1.7007989172574987
220,3621.8727,3621,8727,375,#ff0000,1.7007989172574987
374,.,393,-1,375,#ff0000,1.7007989172574987
114,2127.6331,2127,6331,374,#ff0000,1.7007989172574987
371,.,398,-1,374,#ff0000,1.7007989172574987
346,.,463,-1,371,#ff0000,1.7007989172574987
133,2465.3870,2465,3870,346,#ff0000,1.7007989172574987
337,.,486,-1,346,#ff0000,1.7007989172574987
121,2294.6295,2294,6295,337,#ff0000,1.7007989172574987
131,2450.4315,2450,4315,337,#ff0000,1.7007989172574987
368,.,401,-1,371,#ff0000,1.7007989172574987
287,.,692,-1,368,#ff0000,1.7007989172574987
196,3369.4121,3369,4121,287,#ff0000,1.7007989172574987
279,.,785,-1,287,#ff0000,1.7007989172574987
29,921.9082,921,9082,279,#ff0000,1.7007989172574987
