node_id,name,node_time,subpop_id,parent_id,color_trait_1,transmissibility_1
0,1.18,1,18,-1,#ff0000,1.7007989172574987
462,.,31,-1,0,#ff0000,1.7007989172574987
459,.,112,-1,462,#ff0000,1.7007989172574987
164,2952.832,2952,832,459,#ff0000,1.7007989172574987
458,.,114,-1,459,#ff0000,1.7007989172574987
53,1214.1576,1214,1576,458,#ff0000,1.7007989172574987
457,.,115,-1,458,#ff0000,1.7007989172574987
368,.,311,-1,457,#ff0000,1.7007989172574987
81,1566.23,1566,23,368,#ff0000,1.7007989172574987
215,3497.88,3497,88,81,#ff0000,1.7007989172574987
322,.,434,-1,368,#ff0000,1.7007989172574987
137,2379.6401,2379,6401,322,#ff0000,1.7007989172574987
256,.,1976,-1,322,#ff0000,1.7007989172574987
173,3031.2888,3031,2888,256,#ff0000,1.7007989172574987
255,.,1981,-1,256,#ff0000,1.7007989172574987
140,2489.470,2489,470,255,#ff0000,1.7007989172574987
161,2810.884,2810,884,140,#ff0000,1.7007989172574987
153,2727.902,2727,902,255,#ff0000,1.7007989172574987
456,.,116,-1,457,#ff0000,1.7007989172574987
430,.,192,-1,456,#ff0000,1.7007989172574987
310,.,503,-1,430,#ff0000,1.7007989172574987
16,713.4939,713,4939,310,#ff0000,1.7007989172574987
37,977.3079,977,3079,310,#ff0000,1.7007989172574987
366,.,317,-1,430,#ff0000,1.7007989172574987
101,1861.4130,1861,4130,366,#ff0000,1.7007989172574987
269,.,1390,-1,366,#ff0000,1.7007989172574987
92,1753.9713,1753,9713,269,#ff0000,1.7007989172574987
172,3017.5294,3017,5294,269,#ff0000,1.7007989172574987
455,.,117,-1,456,#ff0000,1.7007989172574987
402,.,266,-1,455,#ff0000,1.7007989172574987
124,2171.2713,2171,2713,402,#ff0000,1.7007989172574987
285,.,895,-1,402,#ff0000,1.7007989172574987
118,2140.9737,2140,9737,285,#ff0000,1.7007989172574987
233,3608.3561,3608,3561,285,#ff0000,1.7007989172574987
454,.,118,-1,455,#ff0000,1.7007989172574987
167,2972.5416,2972,5416,454,#ff0000,1.7007989172574987
399,.,272,-1,454,#ff0000,1.7007989172574987
99,1849.228,1849,228,399,#ff0000,1.7007989172574987
377,.,298,-1,399,#ff0000,1.7007989172574987
170,3015.7837,3015,7837,377,#ff0000,1.7007989172574987
344,.,371,-1,377,#ff0000,1.7007989172574987
249,.,2398,-1,344,#ff0000,1.7007989172574987
157,2758.5641,2758,5641,249,#ff0000,1.7007989172574987
217,3505.9693,3505,9693,249,#ff0000,1.7007989172574987
335,.,391,-1,344,#ff0000,1.7007989172574987
35,961.9900,961,9900,335,#ff0000,1.7007989172574987
257,.,1947,-1,335,#ff0000,1.7007989172574987
151,2699.3849,2699,3849,257,#ff0000,1.7007989172574987
253,.,2136,-1,257,#ff0000,1.7007989172574987
158,2767.6340,2767,6340,253,#ff0000,1.7007989172574987
200,3343.1283,3343,1283,253,#ff0000,1.7007989172574987
453,.,122,-1,454,#ff0000,1.7007989172574987
236,3616.7203,3616,7203,453,#ff0000,1.7007989172574987
375,.,300,-1,453,#ff0000,1.7007989172574987
330,.,397,-1,375,#ff0000,1.7007989172574987
20,828.4110,828,4110,330,#ff0000,1.7007989172574987
