node_id,name,node_time,subpop_id,parent_id,color_trait_1,transmissibility_1
0,1.1188,1,1188,-1,#780087,1.068140375978358
264,.,20,-1,0,#780087,1.068140375978358
243,.,256,-1,264,#780087,1.068140375978358
47,1832.5278,1832,5278,243,#780087,1.068140375978358
238,.,271,-1,243,#780087,1.068140375978358
13,947.5071,947,5071,238,#780087,1.068140375978358
200,.,384,-1,238,#780087,1.068140375978358
27,1373.9310,1373,9310,200,#780087,1.068140375978358
190,.,411,-1,200,#780087,1.068140375978358
80,2480.4485,2480,4485,190,#780087,1.068140375978358
113,3132.4317,3132,4317,190,#780087,1.068140375978358
263,.,35,-1,264,#780087,1.068140375978358
62,2092.5189,2092,5189,263,#780087,1.068140375978358
262,.,85,-1,263,#780087,1.068140375978358
260,.,143,-1,262,#780087,1.068140375978358
252,.,205,-1,260,#780087,1.068140375978358
219,.,337,-1,252,#780087,1.068140375978358
152,.,674,-1,219,#780087,1.068140375978358
43,1698.7521,1698,7521,152,#780087,1.068140375978358
68,2165.3684,2165,3684,152,#780087,1.068140375978358
183,.,433,-1,219,#780087,1.068140375978358
53,1919.5587,1919,5587,183,#780087,1.068140375978358
122,3356.1098,3356,1098,183,#780087,1.068140375978358
226,.,324,-1,252,#780087,1.068140375978358
44,1704.9098,1704,9098,226,#780087,1.068140375978358
217,.,342,-1,226,#780087,1.068140375978358
88,2606.8865,2606,8865,217,#780087,1.068140375978358
130,3498.1097,3498,1097,217,#780087,1.068140375978358
250,.,209,-1,252,#780087,1.068140375978358
24,1252.5742,1252,5742,250,#780087,1.068140375978358
102,2962.8845,2962,8845,250,#780087,1.068140375978358
259,.,166,-1,260,#780087,1.068140375978358
29,1421.1390,1421,1390,259,#780087,1.068140375978358
33,1531.1964,1531,1964,259,#780087,1.068140375978358
261,.,134,-1,262,#780087,1.068140375978358
257,.,174,-1,261,#780087,1.068140375978358
248,.,225,-1,257,#780087,1.068140375978358
237,.,276,-1,248,#780087,1.068140375978358
223,.,334,-1,237,#780087,1.068140375978358
182,.,436,-1,223,#780087,1.068140375978358
49,1885.5809,1885,5809,182,#780087,1.068140375978358
144,.,1318,-1,182,#780087,1.068140375978358
38,1642.5283,1642,5283,144,#780087,1.068140375978358
109,3077.3059,3077,3059,144,#780087,1.068140375978358
209,.,361,-1,223,#780087,1.068140375978358
151,.,741,-1,209,#780087,1.068140375978358
50,1887.4811,1887,4811,151,#780087,1.068140375978358
52,1917.2796,1917,2796,151,#780087,1.068140375978358
181,.,437,-1,209,#780087,1.068140375978358
58,1987.1673,1987,1673,181,#780087,1.068140375978358
71,2189.875,2189,875,181,#780087,1.068140375978358
229,.,303,-1,237,#780087,1.068140375978358
174,.,454,-1,229,#780087,1.068140375978358
23,1251.4334,1251,4334,174,#780087,1.068140375978358
163,.,566,-1,174,#780087,1.068140375978358
16,1038.2296,1038,2296,163,#780087,1.068140375978358
18,1108.7597,1108,7597,163,#780087,1.068140375978358
224,.,331,-1,229,#780087,1.068140375978358
26,1359.9073,1359,9073,224,#780087,1.068140375978358
54,1925.685,1925,685,224,#780087,1.068140375978358
244,.,253,-1,248,#780087,1.068140375978358
81,2490.3801,2490,3801,244,#780087,1.068140375978358
225,.,327,-1,244,#780087,1.068140375978358
19,1132.3540,1132,3540,225,#780087,1.068140375978358
196,.,404,-1,225,#780087,1.068140375978358
124,3404.2370,3404,2370,196,#780087,1.068140375978358
169,.,484,-1,196,#780087,1.068140375978358
84,2549.6939,2549,6939,169,#780087,1.068140375978358
157,.,630,-1,169,#780087,1.068140375978358
7,773.8158,773,8158,157,#780087,1.068140375978358
142,.,1705,-1,157,#780087,1.068140375978358
56,1964.2275,1964,2275,142,#780087,1.068140375978358
89,2663.3799,2663,3799,142,#780087,1.068140375978358
255,.,178,-1,257,#780087,1.068140375978358
231,.,294,-1,255,#780087,1.068140375978358
201,.,381,-1,231,#780087,1.068140375978358
55,1941.7719,1941,7719,201,#780087,1.068140375978358
160,.,605,-1,201,#780087,1.068140375978358
60,2055.6514,2055,6514,160,#780087,1.068140375978358
95,2739.4832,2739,4832,160,#780087,1.068140375978358
222,.,334,-1,231,#780087,1.068140375978358
211,.,356,-1,222,#780087,1.068140375978358
37,1610.7875,1610,7875,211,#780087,1.068140375978358
103,2978.1513,2978,1513,211,#780087,1.068140375978358
220,.,336,-1,222,#780087,1.068140375978358
189,.,421,-1,220,#780087,1.068140375978358
20,1139.1970,1139,1970,189,#780087,1.068140375978358
138,.,3111,-1,189,#780087,1.068140375978358
123,3395.6526,3395,6526,138,#780087,1.068140375978358
131,3505.3390,3505,3390,138,#780087,1.068140375978358
218,.,338,-1,220,#780087,1.068140375978358
98,2907.2959,2907,2959,218,#780087,1.068140375978358
214,.,344,-1,218,#780087,1.068140375978358
202,.,381,-1,214,#780087,1.068140375978358
11,857.4617,857,4617,202,#780087,1.068140375978358
186,.,430,-1,202,#780087,1.068140375978358
32,1496.4032,1496,4032,186,#780087,1.068140375978358
118,3291.1121,3291,1121,186,#780087,1.068140375978358
212,.,355,-1,214,#780087,1.068140375978358
41,1673.7149,1673,7149,212,#780087,1.068140375978358
197,.,399,-1,212,#780087,1.068140375978358
17,1106.6750,1106,6750,197,#780087,1.068140375978358
21,1186.9025,1186,9025,197,#780087,1.068140375978358
251,.,207,-1,255,#780087,1.068140375978358
241,.,257,-1,251,#780087,1.068140375978358
34,1552.4404,1552,4404,241,#780087,1.068140375978358
66,2154.6534,2154,6534,241,#780087,1.068140375978358
246,.,242,-1,251,#780087,1.068140375978358
51,1911.9122,1911,9122,246,#780087,1.068140375978358
92,2680.6643,2680,6643,246,#780087,1.068140375978358
258,.,174,-1,261,#780087,1.068140375978358
247,.,227,-1,258,#780087,1.068140375978358
213,.,349,-1,247,#780087,1.068140375978358
67,2160.4218,2160,4218,213,#780087,1.068140375978358
101,2959.466,2959,466,213,#780087,1.068140375978358
236,.,278,-1,247,#780087,1.068140375978358
116,3262.6570,3262,6570,236,#780087,1.068140375978358
235,.,284,-1,236,#780087,1.068140375978358
57,1977.1740,1977,1740,235,#780087,1.068140375978358
