node_id,name,node_time,subpop_id,parent_id,color_trait_1,transmissibility_1,drug_resistance_1,drug_resistance_2
0,1.7718,1,7718,-1,#0000ff,0,0,0
436,.,28,-1,0,#0000ff,0,0,0
23,133.4920,133,4920,436,#0000ff,0,0,0
435,.,35,-1,436,#0000ff,0,0,0
433,.,45,-1,435,#0000ff,0,0,0
373,.,68,-1,433,#0000ff,0,0,0
40,189.5683,189,5683,373,#0000ff,0,0,0
348,.,234,-1,373,#5500aa,0.2,0.2,0.0
70,262.3534,262,3534,348,#5500aa,0.2,0.2,0.0
347,.,237,-1,348,#5500aa,0.2,0.2,0.0
144,515.1153,515,1153,347,#5500aa,0.2,0.2,0.0
346,.,247,-1,347,#5500aa,0.2,0.2,0.0
98,328.3908,328,3908,346,#5500aa,0.2,0.2,0.0
345,.,264,-1,346,#5500aa,0.2,0.2,0.0
76,277.2321,277,2321,345,#5500aa,0.2,0.2,0.0
341,.,289,-1,345,#5500aa,0.2,0.2,0.0
89,304.3394,304,3394,341,#5500aa,0.2,0.2,0.0
330,.,336,-1,341,#5500aa,0.2,0.2,0.0
103,348.6002,348,6002,330,#5500aa,0.2,0.2,0.0
284,.,477,-1,330,#5500aa,0.2,0.2,0.0
254,.,561,-1,284,#5500aa,0.2,0.2,0.0
165,567.665,567,665,254,#5500aa,0.2,0.2,0.0
252,.,564,-1,254,#5500aa,0.2,0.2,0.0
169,579.1770,579,1770,252,#5500aa,0.2,0.2,0.0
248,.,583,-1,252,#5500aa,0.2,0.2,0.0
186,618.6805,618,6805,248,#5500aa,0.2,0.2,0.0
247,.,584,-1,248,#5500aa,0.2,0.2,0.0
174,597.8700,597,8700,247,#5500aa,0.2,0.2,0.0
177,608.5615,608,5615,247,#5500aa,0.2,0.2,0.0
258,.,545,-1,284,#5500aa,0.2,0.2,0.0
156,550.4535,550,4535,258,#5500aa,0.2,0.2,0.0
253,.,563,-1,258,#5500aa,0.2,0.2,0.0
181,614.8437,614,8437,253,#5500aa,0.2,0.2,0.0
251,.,564,-1,253,#5500aa,0.2,0.2,0.0
184,618.5132,618,5132,251,#5500aa,0.2,0.2,0.0
185,618.5260,618,5260,251,#5500aa,0.2,0.2,0.0
431,.,46,-1,433,#0000ff,0,0,0
67,256.8136,256,8136,431,#0000ff,0,0,0
78,280.8124,280,8124,431,#5500aa,0.2,0.0,0.0
408,.,57,-1,431,#0000ff,0,0,0
28,144.7261,144,7261,408,#0000ff,0.0,0.0,0.2
96,323.2108,323,2108,408,#0000ff,0,0,0
429,.,47,-1,431,#0000ff,0,0,0
342,.,286,-1,429,#0000ff,0,0,0
192,641.4533,641,4533,342,#5500aa,0.2,0.0,0.0
339,.,291,-1,342,#0000ff,0,0,0
101,338.4392,338,4392,339,#0000ff,0,0,0
108,376.7996,376,7996,339,#0000ff,0,0,0
416,.,54,-1,429,#0000ff,0,0,0
381,.,64,-1,416,#0000ff,0,0,0
71,267.69,267,69,381,#0000ff,0,0,0
367,.,72,-1,381,#0000ff,0,0,0
4,82.4204,82,4204,367,#0000ff,0,0,0
35,163.1525,163,1525,367,#0000ff,0,0,0
402,.,58,-1,416,#0000ff,0,0,0
1,70.517,70,517,402,#0000ff,0,0,0
3,82.3945,82,3945,402,#0000ff,0,0,0
434,.,44,-1,435,#0000ff,0,0,0
16,118.2168,118,2168,434,#0000ff,0,0,0
432,.,45,-1,434,#0000ff,0,0,0
410,.,56,-1,432,#0000ff,0,0,0
380,.,65,-1,410,#0000ff,0,0,0
22,129.4965,129,4965,380,#0000ff,0,0,0
52,217.7469,217,7469,380,#5500aa,0.2,0.0,0.0
405,.,57,-1,410,#0000ff,0,0,0
79,281.9030,281,9030,405,#0000ff,0,0,0
84,294.5296,294,5296,405,#5500aa,0.2,0.0,0.0
326,.,355,-1,405,#0000ff,0,0,0
117,396.6441,396,6441,326,#0000ff,0,0,0
236,.,627,-1,326,#0000ff,0,0,0
207,672.4438,672,4438,236,#0000ff,0,0,0
210,677.624,677,624,236,#0000ff,0,0,0
359,.,83,-1,405,#0000ff,0,0,0
77,277.7986,277,7986,359,#0000ff,0.0,0.0,0.2
327,.,350,-1,359,#aa0055,0.4,0.0,0.0
105,359.2226,359,2226,327,#aa0055,0.4,0.0,0.0
289,.,462,-1,327,#aa0055,0.4,0.0,0.0
141,498.9598,498,9598,289,#aa0055,0.4,0.0,0.0
149,528.5864,528,5864,289,#ff0000,0.6000000000000001,0.0,0.2
154,536.5864,536,5864,149,#ff0000,0.6000000000000001,0.0,0.2
368,.,72,-1,405,#0000ff,0,0,0
5,87.1630,87,1630,368,#0000ff,0,0,0
351,.,168,-1,368,#0000ff,0.0,0.2,0.0
39,184.388,184,388,351,#0000ff,0.0,0.2,0.0
57,226.1046,226,1046,351,#0000ff,0.0,0.2,0.0
391,.,60,-1,405,#0000ff,0,0,0
94,318.1494,318,1494,391,#0000ff,0,0,0
389,.,61,-1,391,#0000ff,0,0,0
11,101.5762,101,5762,389,#0000ff,0,0,0
387,.,62,-1,389,#0000ff,0,0,0
41,190.3566,190,3566,387,#0000ff,0,0,0
91,312.2026,312,2026,387,#0000ff,0,0,0
384,.,63,-1,387,#0000ff,0,0,0
13,110.1547,110,1547,384,#0000ff,0,0,0
290,.,461,-1,384,#aa0055,0.4,0.0,0.2
152,532.3575,532,3575,290,#aa0055,0.4,0.0,0.2
286,.,474,-1,290,#aa0055,0.4,0.0,0.2
182,615.4525,615,4525,286,#aa0055,0.4,0.0,0.2
256,.,549,-1,286,#aa0055,0.4,0.0,0.2
189,625.8024,625,8024,256,#aa0055,0.4,0.0,0.2
