node_id,name,node_time,subpop_id,parent_id,color_trait_1,transmissibility_1,drug_resistance_1,drug_resistance_2
0,1.7718,1,7718,-1,#0000ff,0,0,0
441,.,4,-1,0,#0000ff,0,0,0
437,.,12,-1,441,#0000ff,0,0,0
3,52.1618,52,1618,437,#0000ff,0,0,0
436,.,13,-1,437,#0000ff,0,0,0
354,.,220,-1,436,#80007f,0.4,0.0,0.0
338,.,298,-1,354,#80007f,0.4,0.0,0.0
322,.,366,-1,338,#80007f,0.4,0.0,0.0
289,.,451,-1,322,#80007f,0.4,0.0,0.0
159,524.579,524,579,289,#80007f,0.4,0.0,0.0
195,618.1455,618,1455,289,#80007f,0.4,0.0,0.0
307,.,398,-1,322,#80007f,0.4,0.0,0.0
257,.,535,-1,307,#80007f,0.4,0.0,0.0
200,624.2298,624,2298,257,#80007f,0.4,0.0,0.0
247,.,579,-1,257,#c0003f,0.6000000000000001,0.0,0.0
210,662.9209,662,9209,247,#c0003f,0.6000000000000001,0.0,0.0
234,720.7701,720,7701,247,#c0003f,0.6000000000000001,0.0,0.0
300,.,409,-1,307,#80007f,0.4,0.0,0.0
128,430.8630,430,8630,300,#80007f,0.4,0.0,0.0
153,503.1676,503,1676,300,#80007f,0.4,0.0,0.0
332,.,315,-1,338,#80007f,0.4,0.0,0.0
158,514.14,514,14,332,#80007f,0.4,0.0,0.0
270,.,500,-1,332,#80007f,0.4,0.0,0.0
157,511.5042,511,5042,270,#80007f,0.4,0.0,0.0
236,725.232,725,232,270,#80007f,0.4,0.0,0.0
352,.,259,-1,354,#80007f,0.4,0.0,0.0
312,.,388,-1,352,#80007f,0.4,0.0,0.0
130,438.515,438,515,312,#80007f,0.4,0.0,0.0
286,.,455,-1,312,#80007f,0.4,0.0,0.0
278,.,480,-1,286,#80007f,0.4,0.0,0.0
156,509.79,509,79,278,#80007f,0.4,0.0,0.0
209,658.9917,658,9917,278,#80007f,0.4,0.0,0.0
285,.,459,-1,286,#80007f,0.4,0.0,0.0
166,545.4631,545,4631,285,#80007f,0.4,0.0,0.0
273,.,492,-1,285,#80007f,0.4,0.0,0.0
213,667.925,667,925,273,#80007f,0.4,0.0,0.0
262,.,529,-1,273,#80007f,0.4,0.0,0.0
171,557.6308,557,6308,262,#80007f,0.4,0.0,0.0
258,.,530,-1,262,#80007f,0.4,0.0,0.0
177,572.8884,572,8884,258,#80007f,0.4,0.0,0.0
220,687.8147,687,8147,258,#80007f,0.4,0.0,0.0
339,.,297,-1,352,#80007f,0.4,0.0,0.0
95,320.7760,320,7760,339,#80007f,0.4,0.0,0.0
313,.,384,-1,339,#80007f,0.4,0.0,0.0
120,411.2006,411,2006,313,#80007f,0.4,0.0,0.0
