node_id,name,node_time,subpop_id,parent_id,color_trait_1,transmissibility_1,drug_resistance_1,drug_resistance_2
0,1.7718,1,7718,-1,#0000ff,0,0,0
421,.,29,-1,0,#0000ff,0,0,0
418,.,32,-1,421,#0000ff,0,0,0
409,.,36,-1,418,#0000ff,0,0,0
100,330.6451,330,6451,409,#0000ff,0.0,0.0,0.2
333,.,136,-1,409,#4000bf,0.2,0.0,0.0
93,310.273,310,273,333,#4000bf,0.2,0.0,0.0
312,.,340,-1,333,#80007f,0.4,0.0,0.0
113,402.6649,402,6649,312,#80007f,0.4,0.0,0.0
290,.,412,-1,312,#80007f,0.4,0.0,0.0
135,525.6558,525,6558,290,#80007f,0.4,0.0,0.0
265,.,502,-1,290,#80007f,0.4,0.0,0.0
169,608.5130,608,5130,265,#80007f,0.4,0.0,0.0
218,723.5157,723,5157,265,#80007f,0.4,0.0,0.4
282,.,452,-1,290,#80007f,0.4,0.2,0.0
267,.,498,-1,282,#80007f,0.4,0.2,0.0
219,725.1483,725,1483,267,#80007f,0.4,0.2,0.0
229,.,624,-1,267,#80007f,0.4,0.2,0.0
206,693.9381,693,9381,229,#80007f,0.4,0.2,0.0
223,729.8820,729,8820,229,#80007f,0.4,0.2,0.0
272,.,485,-1,282,#80007f,0.4,0.2,0.0
140,532.453,532,453,272,#80007f,0.4,0.2,0.0
211,705.2768,705,2768,272,#ff0000,0.8,0.2,0.0
308,.,351,-1,312,#80007f,0.4,0.0,0.0
249,.,541,-1,308,#80007f,0.4,0.0,0.0
157,584.7607,584,7607,249,#80007f,0.4,0.0,0.0
164,593.7607,593,7607,157,#80007f,0.4,0.0,0.0
231,.,606,-1,249,#80007f,0.4,0.0,0.0
212,708.4679,708,4679,231,#80007f,0.4,0.0,0.0
227,.,633,-1,231,#80007f,0.4,0.0,0.0
201,686.709,686,709,227,#80007f,0.4,0.0,0.0
226,.,638,-1,227,#80007f,0.4,0.0,0.0
186,658.202,658,202,226,#80007f,0.4,0.0,0.0
198,683.5732,683,5732,186,#80007f,0.4,0.0,0.0
209,701.4354,701,4354,226,#80007f,0.4,0.0,0.0
301,.,374,-1,308,#80007f,0.4,0.0,0.0
283,.,451,-1,301,#80007f,0.4,0.0,0.0
124,470.2466,470,2466,283,#80007f,0.4,0.0,0.0
279,.,458,-1,283,#80007f,0.4,0.0,0.0
137,530.5906,530,5906,279,#80007f,0.4,0.0,0.0
273,.,485,-1,279,#80007f,0.4,0.0,0.0
143,538.5818,538,5818,273,#80007f,0.4,0.0,0.0
161,590.5851,590,5851,273,#80007f,0.4,0.0,0.0
300,.,379,-1,301,#80007f,0.4,0.0,0.0
271,.,487,-1,300,#80007f,0.4,0.0,0.0
221,726.5896,726,5896,271,#80007f,0.4,0.0,0.0
247,.,553,-1,271,#80007f,0.4,0.0,0.0
149,562.5048,562,5048,247,#80007f,0.4,0.0,0.0
237,.,591,-1,247,#80007f,0.4,0.0,0.0
167,597.4859,597,4859,237,#80007f,0.4,0.0,0.0
183,652.7327,652,7327,237,#80007f,0.4,0.0,0.0
298,.,394,-1,300,#80007f,0.4,0.0,0.0
295,.,407,-1,298,#80007f,0.4,0.0,0.0
274,.,483,-1,295,#80007f,0.4,0.0,0.0
151,563.1458,563,1458,274,#80007f,0.4,0.0,0.0
269,.,493,-1,274,#80007f,0.4,0.0,0.0
184,656.5134,656,5134,269,#80007f,0.4,0.0,0.0
260,.,506,-1,269,#80007f,0.4,0.0,0.0
144,543.4414,543,4414,260,#80007f,0.4,0.0,0.0
259,.,509,-1,260,#80007f,0.4,0.0,0.0
175,625.3408,625,3408,259,#80007f,0.4,0.0,0.0
256,.,520,-1,259,#80007f,0.4,0.0,0.0
153,570.947,570,947,256,#80007f,0.4,0.0,0.0
255,.,521,-1,256,#80007f,0.4,0.0,0.0
168,607.2553,607,2553,255,#80007f,0.4,0.0,0.0
253,.,527,-1,255,#80007f,0.4,0.0,0.0
243,.,567,-1,253,#80007f,0.4,0.0,0.0
176,625.9835,625,9835,243,#80007f,0.4,0.0,0.0
241,.,579,-1,243,#80007f,0.4,0.0,0.0
160,589.257,589,257,241,#80007f,0.4,0.0,0.0
204,689.172,689,172,241,#80007f,0.4,0.0,0.2
238,.,588,-1,241,#80007f,0.4,0.0,0.0
185,657.5769,657,5769,238,#80007f,0.4,0.0,0.0
235,.,591,-1,238,#80007f,0.4,0.0,0.0
179,640.9755,640,9755,235,#c0003f,0.6000000000000001,0.0,0.0
234,.,597,-1,235,#80007f,0.4,0.0,0.0
194,680.9215,680,9215,234,#80007f,0.4,0.0,0.0
222,729.7248,729,7248,234,#80007f,0.4,0.0,0.0
251,.,532,-1,253,#80007f,0.4,0.0,0.0
174,623.2347,623,2347,251,#80007f,0.4,0.0,0.0
248,.,544,-1,251,#80007f,0.4,0.0,0.0
195,680.3937,680,3937,248,#80007f,0.4,0.0,0.0
217,723.1682,723,1682,248,#c0003f,0.6000000000000001,0.0,0.0
293,.,408,-1,295,#80007f,0.4,0.0,0.0
254,.,524,-1,293,#80007f,0.4,0.0,0.0
154,576.1985,576,1985,254,#80007f,0.4,0.0,0.0
208,700.293,700,293,254,#80007f,0.4,0.0,0.0
280,.,457,-1,293,#80007f,0.4,0.0,0.0
146,552.7121,552,7121,280,#80007f,0.4,0.0,0.0
159,587.467,587,467,280,#80007f,0.4,0.0,0.0
296,.,406,-1,298,#80007f,0.4,0.0,0.0
150,562.6183,562,6183,296,#80007f,0.4,0.0,0.0
289,.,429,-1,296,#80007f,0.4,0.0,0.0
119,446.3891,446,3891,289,#80007f,0.4,0.0,0.0
126,486.5979,486,5979,289,#80007f,0.4,0.0,0.0
416,.,33,-1,418,#0000ff,0,0,0
397,.,40,-1,416,#0000ff,0,0,0
12,87.3043,87,3043,397,#0000ff,0,0,0
334,.,134,-1,397,#0000ff,0,0,0
52,185.8005,185,8005,334,#0000ff,0,0,0
331,.,137,-1,334,#0000ff,0,0,0
59,208.6642,208,6642,331,#0000ff,0,0,0
324,.,233,-1,331,#0000ff,0,0,0
83,255.2768,255,2768,324,#0000ff,0,0,0
310,.,346,-1,324,#4000bf,0.2,0.0,0.2
297,.,396,-1,310,#4000bf,0.2,0.0,0.2
