node_id,name,node_time,subpop_id,parent_id,color_trait_1,transmissibility_1,drug_resistance_1,drug_resistance_2
0,1.7718,1,7718,-1,#0000ff,0,0,0
491,.,9,-1,0,#0000ff,0,0,0
482,.,15,-1,491,#0000ff,0,0,0
34,109.8344,109,8344,482,#0000ff,0,0,0
418,.,40,-1,482,#0000ff,0,0,0
10,69.8470,69,8470,418,#0000ff,0,0,0
381,.,209,-1,418,#4000bf,0.2,0.0,0.0
96,241.5655,241,5655,381,#4000bf,0.2,0.0,0.0
106,266.2702,266,2702,381,#4000bf,0.2,0.0,0.0
486,.,13,-1,491,#0000ff,0,0,0
457,.,22,-1,486,#0000ff,0,0,0
7,61.728,61,728,457,#0000ff,0.0,0.0,0.2
402,.,54,-1,457,#0000ff,0,0,0
37,116.6846,116,6846,402,#0000ff,0,0,0
71,183.4774,183,4774,402,#4000bf,0.2,0.0,0.0
481,.,15,-1,486,#0000ff,0,0,0
73,188.5830,188,5830,481,#0000ff,0,0,0
432,.,32,-1,481,#0000ff,0,0,0
74,189.8149,189,8149,432,#0000ff,0,0,0
131,355.4608,355,4608,432,#0000ff,0,0,0
376,.,243,-1,432,#0000ff,0,0,0
112,286.7567,286,7567,376,#0000ff,0,0,0
162,484.6156,484,6156,376,#0000ff,0.0,0.0,0.2
462,.,20,-1,481,#0000ff,0,0,0
93,239.6083,239,6083,462,#4000bf,0.2,0.0,0.0
458,.,21,-1,462,#0000ff,0,0,0
63,173.6224,173,6224,458,#0000ff,0,0,0
416,.,40,-1,458,#0000ff,0,0,0
19,85.5201,85,5201,416,#0000ff,0,0,0
380,.,213,-1,416,#0000ff,0,0,0
116,307.1619,307,1619,380,#0000ff,0,0,0
120,314.7678,314,7678,380,#0000ff,0,0,0
452,.,22,-1,458,#0000ff,0,0,0
3,41.9206,41,9206,452,#0000ff,0,0,0
448,.,25,-1,452,#0000ff,0,0,0
424,.,35,-1,448,#0000ff,0,0,0
4,46.1908,46,1908,424,#0000ff,0,0,0
422,.,37,-1,424,#0000ff,0,0,0
32,104.8075,104,8075,422,#0000ff,0,0,0
45,128.6568,128,6568,422,#4000bf,0.2,0.0,0.0
441,.,29,-1,448,#0000ff,0,0,0
24,97.7852,97,7852,441,#0000ff,0,0,0
103,254.8053,254,8053,441,#4000bf,0.2,0.0,0.0
476,.,17,-1,481,#0000ff,0,0,0
443,.,28,-1,476,#0000ff,0,0,0
420,.,38,-1,443,#0000ff,0,0,0
68,176.1178,176,1178,420,#0000ff,0,0,0
101,249.1357,249,1357,420,#4000bf,0.2,0.0,0.0
433,.,31,-1,443,#0000ff,0,0,0
94,239.8752,239,8752,433,#0000ff,0,0,0
410,.,44,-1,433,#0000ff,0,0,0
58,165.4050,165,4050,410,#0000ff,0,0,0
64,173.7008,173,7008,410,#0000ff,0,0,0
475,.,18,-1,476,#0000ff,0,0,0
61,172.1680,172,1680,475,#0000ff,0.0,0.0,0.2
107,267.6418,267,6418,475,#0000ff,0,0,0
478,.,16,-1,481,#0000ff,0,0,0
29,102.7824,102,7824,478,#0000ff,0,0,0
466,.,20,-1,478,#0000ff,0,0,0
397,.,65,-1,466,#0000ff,0,0,0
25,98.1858,98,1858,397,#0000ff,0,0,0
394,.,75,-1,397,#0000ff,0,0,0
60,170.4130,170,4130,394,#0000ff,0,0,0
89,232.7839,232,7839,394,#0000ff,0,0,0
456,.,22,-1,466,#0000ff,0,0,0
1,31.3763,31,3763,456,#0000ff,0,0,0
411,.,44,-1,456,#0000ff,0,0,0
130,353.1725,353,1725,411,#0000ff,0,0,0
136,395.9188,395,9188,411,#0000ff,0.0,0.0,0.2
489,.,11,-1,491,#0000ff,0,0,0
23,96.7594,96,7594,489,#0000ff,0,0,0
430,.,32,-1,489,#0000ff,0,0,0
13,73.3149,73,3149,430,#0000ff,0,0,0
425,.,34,-1,430,#0000ff,0,0,0
16,76.9755,76,9755,425,#0000ff,0,0,0
95,240.8671,240,8671,425,#4000bf,0.2,0.0,0.0
480,.,15,-1,489,#0000ff,0,0,0
55,158.7393,158,7393,480,#0000ff,0,0,0
472,.,18,-1,480,#0000ff,0,0,0
467,.,20,-1,472,#0000ff,0,0,0
350,.,379,-1,467,#0000ff,0.0,0.0,0.2
140,407.4335,407,4335,350,#0000ff,0.0,0.0,0.2
347,.,386,-1,350,#0000ff,0.0,0.0,0.2
142,411.1290,411,1290,347,#0000ff,0.0,0.0,0.2
336,.,424,-1,347,#0000ff,0.0,0.0,0.2
148,432.3407,432,3407,336,#0000ff,0.0,0.0,0.2
149,437.450,437,450,336,#0000ff,0.0,0.0,0.2
387,.,117,-1,467,#4000bf,0.2,0.0,0.0
81,216.985,216,985,387,#4000bf,0.2,0.0,0.0
369,.,280,-1,387,#4000bf,0.2,0.0,0.0
150,439.6201,439,6201,369,#4000bf,0.2,0.0,0.0
361,.,324,-1,369,#4000bf,0.2,0.0,0.0
125,333.7929,333,7929,361,#4000bf,0.2,0.0,0.0
134,388.100,388,100,361,#4000bf,0.2,0.0,0.0
469,.,19,-1,472,#0000ff,0,0,0
77,208.1960,208,1960,469,#0000ff,0,0,0
464,.,20,-1,469,#0000ff,0,0,0
12,72.5937,72,5937,464,#0000ff,0,0,0
454,.,22,-1,464,#0000ff,0,0,0
72,187.6614,187,6614,454,#0000ff,0,0,0
449,.,24,-1,454,#0000ff,0,0,0
152,441.2302,441,2302,449,#0000ff,0,0,0
398,.,65,-1,449,#0000ff,0,0,0
54,158.931,158,931,398,#0000ff,0,0,0
80,215.5928,215,5928,398,#0000ff,0,0,0
490,.,10,-1,491,#0000ff,0,0,0
11,72.4400,72,4400,490,#0000ff,0.0,0.0,0.2
35,112.8821,112,8821,490,#0000ff,0,0,0
446,.,27,-1,490,#0000ff,0,0,0
383,.,199,-1,446,#4000bf,0.2,0.0,0.0
377,.,233,-1,383,#4000bf,0.2,0.0,0.0
102,251.9488,251,9488,377,#4000bf,0.2,0.0,0.0
127,347.8524,347,8524,377,#4000bf,0.2,0.0,0.0
379,.,214,-1,383,#4000bf,0.2,0.0,0.0
91,235.1520,235,1520,379,#4000bf,0.2,0.0,0.0
378,.,224,-1,379,#4000bf,0.2,0.0,0.0
371,.,277,-1,378,#4000bf,0.2,0.0,0.0
122,317.1639,317,1639,371,#4000bf,0.2,0.0,0.0
158,465.6915,465,6915,122,#4000bf,0.2,0.0,0.0
147,427.1941,427,1941,371,#80007f,0.4,0.0,0.0
375,.,248,-1,378,#4000bf,0.2,0.0,0.0
139,404.7799,404,7799,375,#80007f,0.4,0.0,0.0
366,.,281,-1,375,#4000bf,0.2,0.0,0.0
124,326.698,326,698,366,#4000bf,0.2,0.0,0.0
153,443.4305,443,4305,366,#4000bf,0.2,0.0,0.0
435,.,31,-1,446,#0000ff,0,0,0
110,278.9160,278,9160,435,#0000ff,0,0,0
419,.,38,-1,435,#0000ff,0,0,0
59,167.9555,167,9555,419,#0000ff,0,0,0
86,225.9962,225,9962,419,#0000ff,0,0,0
474,.,18,-1,490,#0000ff,0,0,0
2,41.4858,41,4858,474,#0000ff,0,0,0
76,201.8917,201,8917,474,#0000ff,0,0,0
488,.,11,-1,490,#0000ff,0,0,0
105,263.5963,263,5963,488,#0000ff,0,0,0
439,.,30,-1,488,#0000ff,0,0,0
28,102.5275,102,5275,439,#0000ff,0,0,0
88,230.427,230,427,439,#0000ff,0,0,0
487,.,12,-1,488,#0000ff,0,0,0
26,99.5949,99,5949,487,#0000ff,0,0,0
484,.,14,-1,487,#0000ff,0,0,0
450,.,24,-1,484,#0000ff,0,0,0
70,179.2401,179,2401,450,#0000ff,0,0,0
444,.,28,-1,450,#0000ff,0,0,0
41,122.6920,122,6920,444,#0000ff,0,0,0
374,.,253,-1,444,#4000bf,0.2,0.0,0.0
113,287.5490,287,5490,374,#4000bf,0.2,0.0,0.0
145,417.890,417,890,374,#4000bf,0.2,0.0,0.0
431,.,32,-1,444,#0000ff,0,0,0
67,175.1587,175,1587,431,#0000ff,0,0,0
421,.,38,-1,431,#0000ff,0,0,0
97,243.737,243,737,421,#0000ff,0,0,0
399,.,59,-1,421,#0000ff,0,0,0
62,172.3460,172,3460,399,#0000ff,0,0,0
69,178.9138,178,9138,399,#0000ff,0,0,0
468,.,19,-1,484,#0000ff,0,0,0
417,.,40,-1,468,#0000ff,0,0,0
57,164.7544,164,7544,417,#0000ff,0,0,0
362,.,320,-1,417,#4000bf,0.2,0.0,0.0
129,352.615,352,615,362,#4000bf,0.2,0.0,0.0
132,357.2100,357,2100,362,#4000bf,0.2,0.0,0.0
436,.,30,-1,468,#0000ff,0,0,0
22,94.1410,94,1410,436,#0000ff,0,0,0
98,245.9062,245,9062,436,#0000ff,0,0,0
463,.,20,-1,468,#0000ff,0,0,0
440,.,29,-1,463,#0000ff,0,0,0
