node_id,name,node_time,subpop_id,parent_id,color_trait_1,transmissibility_1
0,1.18,1,18,-1,#e70018,1.7007989172574987
1,1.1450,1,1450,-1,#c3003c,1.4920986070435172
332,.,140,-1,1,#c3003c,1.4920986070435172
326,.,405,-1,332,#c3003c,1.4920986070435172
168,3635.1244,3635,1244,326,#c3003c,1.4920986070435172
318,.,572,-1,326,#c3003c,1.4920986070435172
277,.,759,-1,318,#c3003c,1.4920986070435172
73,2081.4877,2081,4877,277,#c3003c,1.4920986070435172
164,3558.865,3558,865,277,#c3003c,1.4920986070435172
317,.,573,-1,318,#c3003c,1.4920986070435172
199,.,1135,-1,317,#c3003c,1.4920986070435172
178,.,1972,-1,199,#c3003c,1.4920986070435172
147,3331.8446,3331,8446,178,#c3003c,1.4920986070435172
152,3348.1631,3348,1631,178,#c3003c,1.4920986070435172
195,.,1383,-1,199,#c3003c,1.4920986070435172
69,2030.3946,2030,3946,195,#c3003c,1.4920986070435172
103,2547.7762,2547,7762,195,#c3003c,1.4920986070435172
316,.,583,-1,317,#c3003c,1.4920986070435172
249,.,836,-1,316,#c3003c,1.4920986070435172
116,2792.1661,2792,1661,249,#c3003c,1.4920986070435172
127,3043.4359,3043,4359,249,#c3003c,1.4920986070435172
314,.,596,-1,316,#c3003c,1.4920986070435172
207,.,1040,-1,314,#c3003c,1.4920986070435172
35,1628.676,1628,676,207,#c3003c,1.4920986070435172
54,1834.3312,1834,3312,207,#c3003c,1.4920986070435172
307,.,647,-1,314,#c3003c,1.4920986070435172
189,.,1692,-1,307,#c3003c,1.4920986070435172
62,1945.9894,1945,9894,189,#c3003c,1.4920986070435172
75,2137.3863,2137,3863,189,#c3003c,1.4920986070435172
295,.,709,-1,307,#c3003c,1.4920986070435172
17,1309.1443,1309,1443,295,#c3003c,1.4920986070435172
279,.,757,-1,295,#c3003c,1.4920986070435172
106,2621.8576,2621,8576,279,#c3003c,1.4920986070435172
264,.,792,-1,279,#c3003c,1.4920986070435172
125,2995.5094,2995,5094,264,#c3003c,1.4920986070435172
246,.,843,-1,264,#c3003c,1.4920986070435172
211,.,1006,-1,246,#c3003c,1.4920986070435172
88,2380.9723,2380,9723,211,#c3003c,1.4920986070435172
210,.,1010,-1,211,#c3003c,1.4920986070435172
52,1829.8363,1829,8363,210,#c3003c,1.4920986070435172
149,3340.3344,3340,3344,210,#c3003c,1.4920986070435172
243,.,846,-1,246,#c3003c,1.4920986070435172
29,1532.9143,1532,9143,243,#c3003c,1.4920986070435172
236,.,864,-1,243,#c3003c,1.4920986070435172
117,2815.1082,2815,1082,236,#c3003c,1.4920986070435172
235,.,868,-1,236,#c3003c,1.4920986070435172
206,.,1050,-1,235,#c3003c,1.4920986070435172
176,.,2119,-1,206,#c3003c,1.4920986070435172
95,2467.5764,2467,5764,176,#c3003c,1.4920986070435172
100,2531.8335,2531,8335,176,#c3003c,1.4920986070435172
204,.,1074,-1,206,#c3003c,1.4920986070435172
59,1872.7525,1872,7525,204,#c3003c,1.4920986070435172
187,.,1763,-1,204,#c3003c,1.4920986070435172
60,1904.9509,1904,9509,187,#c3003c,1.4920986070435172
134,3153.6238,3153,6238,187,#c3003c,1.4920986070435172
234,.,871,-1,235,#c3003c,1.4920986070435172
13,1237.4477,1237,4477,234,#c3003c,1.4920986070435172
109,2653.7403,2653,7403,234,#c3003c,1.4920986070435172
331,.,195,-1,332,#c3003c,1.4920986070435172
324,.,487,-1,331,#c3003c,1.4920986070435172
296,.,696,-1,324,#c3003c,1.4920986070435172
5,752.255,752,255,296,#c3003c,1.4920986070435172
135,3178.1589,3178,1589,5,#c3003c,1.4920986070435172
132,3095.8151,3095,8151,296,#c3003c,1.4920986070435172
323,.,488,-1,324,#c3003c,1.4920986070435172
312,.,603,-1,323,#c3003c,1.4920986070435172
299,.,686,-1,312,#c3003c,1.4920986070435172
78,2227.6928,2227,6928,299,#c3003c,1.4920986070435172
268,.,785,-1,299,#c3003c,1.4920986070435172
156,3413.1498,3413,1498,268,#c3003c,1.4920986070435172
265,.,789,-1,268,#c3003c,1.4920986070435172
26,1500.7413,1500,7413,265,#c3003c,1.4920986070435172
263,.,792,-1,265,#c3003c,1.4920986070435172
34,1598.5745,1598,5745,263,#c3003c,1.4920986070435172
