node_id,name,node_time,subpop_id,parent_id,color_trait_1,transmissibility_1
0,1.1188,1,1188,-1,#860079,1.068140375978358
304,.,12,-1,0,#860079,1.068140375978358
33,1085.9991,1085,9991,304,#860079,1.068140375978358
302,.,25,-1,304,#860079,1.068140375978358
218,.,254,-1,302,#860079,1.068140375978358
38,1322.285,1322,285,218,#860079,1.068140375978358
203,.,292,-1,218,#860079,1.068140375978358
29,966.8296,966,8296,203,#860079,1.068140375978358
151,3276.8107,3276,8107,203,#860079,1.068140375978358
294,.,56,-1,302,#860079,1.068140375978358
41,1425.6757,1425,6757,294,#860079,1.068140375978358
288,.,90,-1,294,#860079,1.068140375978358
53,1592.5633,1592,5633,288,#860079,1.068140375978358
87,2295.7312,2295,7312,288,#860079,1.068140375978358
1,1.1290,1,1290,-1,#0000ff,0.36256164436358207
292,.,63,-1,1,#0000ff,0.36256164436358207
7,336.9698,336,9698,292,#0000ff,0.36256164436358207
48,1501.4130,1501,4130,292,#0000ff,0.36256164436358207
68,1817.5466,1817,5466,48,#0000ff,0.36256164436358207
2,1.4059,1,4059,-1,#ff0000,1.7007989172574987
297,.,49,-1,2,#ff0000,1.7007989172574987
283,.,100,-1,297,#ff0000,1.7007989172574987
261,.,165,-1,283,#ff0000,1.7007989172574987
252,.,185,-1,261,#ff0000,1.7007989172574987
181,.,356,-1,252,#ff0000,1.7007989172574987
124,2851.2360,2851,2360,181,#ff0000,1.7007989172574987
175,.,402,-1,181,#ff0000,1.7007989172574987
11,571.2012,571,2012,175,#ff0000,1.7007989172574987
44,1462.5019,1462,5019,175,#ff0000,1.7007989172574987
232,.,231,-1,252,#ff0000,1.7007989172574987
221,.,248,-1,232,#ff0000,1.7007989172574987
82,2195.5237,2195,5237,221,#ff0000,1.7007989172574987
215,.,262,-1,221,#ff0000,1.7007989172574987
198,.,310,-1,215,#ff0000,1.7007989172574987
86,2267.5354,2267,5354,198,#ff0000,1.7007989172574987
170,.,872,-1,198,#ff0000,1.7007989172574987
93,2420.8050,2420,8050,170,#ff0000,1.7007989172574987
100,2559.2973,2559,2973,170,#ff0000,1.7007989172574987
200,.,298,-1,215,#ff0000,1.7007989172574987
66,1777.5849,1777,5849,200,#ff0000,1.7007989172574987
186,.,341,-1,200,#ff0000,1.7007989172574987
8,491.8822,491,8822,186,#ff0000,1.7007989172574987
138,2965.8708,2965,8708,186,#ff0000,1.7007989172574987
227,.,241,-1,232,#ff0000,1.7007989172574987
15,707.4588,707,4588,227,#ff0000,1.7007989172574987
207,.,279,-1,227,#ff0000,1.7007989172574987
178,.,374,-1,207,#ff0000,1.7007989172574987
78,2110.2248,2110,2248,178,#ff0000,1.7007989172574987
160,.,2397,-1,178,#ff0000,1.7007989172574987
131,2907.8923,2907,8923,160,#ff0000,1.7007989172574987
147,3095.5503,3095,5503,160,#ff0000,1.7007989172574987
190,.,329,-1,207,#ff0000,1.7007989172574987
92,2420.2018,2420,2018,190,#ff0000,1.7007989172574987
103,2578.322,2578,322,190,#ff0000,1.7007989172574987
253,.,183,-1,261,#ff0000,1.7007989172574987
189,.,330,-1,253,#ff0000,1.7007989172574987
179,.,358,-1,189,#ff0000,1.7007989172574987
62,1756.8759,1756,8759,179,#ff0000,1.7007989172574987
158,3490.8547,3490,8547,179,#ff0000,1.7007989172574987
188,.,335,-1,189,#ff0000,1.7007989172574987
55,1663.9152,1663,9152,188,#ff0000,1.7007989172574987
117,2794.7793,2794,7793,188,#ff0000,1.7007989172574987
251,.,187,-1,253,#ff0000,1.7007989172574987
231,.,232,-1,251,#ff0000,1.7007989172574987
164,.,1747,-1,231,#ff0000,1.7007989172574987
136,2948.8097,2948,8097,164,#ff0000,1.7007989172574987
140,2988.6916,2988,6916,164,#ff0000,1.7007989172574987
219,.,252,-1,231,#ff0000,1.7007989172574987
5,305.7990,305,7990,219,#ff0000,1.7007989172574987
77,2108.4555,2108,4555,219,#ff0000,1.7007989172574987
240,.,202,-1,251,#ff0000,1.7007989172574987
121,2822.3376,2822,3376,240,#ff0000,1.7007989172574987
197,.,311,-1,240,#ff0000,1.7007989172574987
24,912.9095,912,9095,197,#ff0000,1.7007989172574987
69,1850.769,1850,769,197,#ff0000,1.7007989172574987
268,.,142,-1,283,#ff0000,1.7007989172574987
236,.,214,-1,268,#ff0000,1.7007989172574987
21,893.1205,893,1205,236,#ff0000,1.7007989172574987
177,.,376,-1,236,#ff0000,1.7007989172574987
46,1479.1763,1479,1763,177,#ff0000,1.7007989172574987
84,2255.6874,2255,6874,177,#ff0000,1.7007989172574987
267,.,144,-1,268,#ff0000,1.7007989172574987
246,.,193,-1,267,#ff0000,1.7007989172574987
184,.,351,-1,246,#ff0000,1.7007989172574987
51,1556.3591,1556,3591,184,#ff0000,1.7007989172574987
74,2044.1042,2044,1042,184,#ff0000,1.7007989172574987
239,.,202,-1,246,#ff0000,1.7007989172574987
30,983.2348,983,2348,239,#ff0000,1.7007989172574987
114,2754.7384,2754,7384,239,#ff0000,1.7007989172574987
260,.,166,-1,267,#ff0000,1.7007989172574987
42,1443.1011,1443,1011,260,#ff0000,1.7007989172574987
150,3253.5572,3253,5572,260,#ff0000,1.7007989172574987
293,.,61,-1,297,#ff0000,1.7007989172574987
278,.,111,-1,293,#ff0000,1.7007989172574987
214,.,267,-1,278,#ff0000,1.7007989172574987
133,2924.225,2924,225,214,#ff0000,1.7007989172574987
145,3077.2998,3077,2998,214,#ff0000,1.7007989172574987
237,.,209,-1,278,#ff0000,1.7007989172574987
17,767.7160,767,7160,237,#ff0000,1.7007989172574987
217,.,258,-1,237,#ff0000,1.7007989172574987
63,1762.4948,1762,4948,217,#ff0000,1.7007989172574987
