node_id,name,node_time,subpop_id,parent_id,color_trait_1,transmissibility_1,drug_resistance_1,drug_resistance_2
0,1.7718,1,7718,-1,#0000ff,0,0,0
400,.,24,-1,0,#0000ff,0,0,0
396,.,28,-1,400,#0000ff,0,0,0
88,293.485,293,485,396,#0000ff,0,0,0
391,.,32,-1,396,#0000ff,0,0,0
352,.,50,-1,391,#0000ff,0,0,0
27,136.7306,136,7306,352,#0000ff,0,0,0
343,.,54,-1,352,#0000ff,0,0,0
35,152.1485,152,1485,343,#0000ff,0,0,0
269,.,427,-1,343,#5500aa,0.2,0.0,0.2
254,.,488,-1,269,#5500aa,0.2,0.0,0.2
172,631.3884,631,3884,254,#5500aa,0.2,0.0,0.2
231,.,564,-1,254,#5500aa,0.2,0.0,0.2
216,.,641,-1,231,#aa0055,0.4,0.0,0.2
189,676.3264,676,3264,216,#aa0055,0.4,0.0,0.2
193,680.2940,680,2940,216,#aa0055,0.4,0.0,0.2
224,.,606,-1,231,#5500aa,0.2,0.0,0.2
178,641.37,641,37,224,#5500aa,0.2,0.0,0.2
184,667.8854,667,8854,178,#5500aa,0.2,0.0,0.2
182,651.7144,651,7144,224,#5500aa,0.2,0.0,0.2
267,.,435,-1,269,#5500aa,0.2,0.0,0.2
205,698.4803,698,4803,267,#5500aa,0.2,0.0,0.2
258,.,475,-1,267,#5500aa,0.2,0.0,0.2
143,548.521,548,521,258,#aa0055,0.4,0.0,0.2
210,708.463,708,463,258,#5500aa,0.2,0.0,0.2
364,.,45,-1,391,#0000ff,0,0,0
8,85.508,85,508,364,#0000ff,0,0,0
332,.,61,-1,364,#0000ff,0,0,0
16,105.8690,105,8690,332,#0000ff,0,0,0
59,211.3388,211,3388,332,#0000ff,0,0,0
399,.,25,-1,400,#0000ff,0,0,0
70,246.6174,246,6174,399,#0000ff,0,0,0
398,.,26,-1,399,#0000ff,0,0,0
45,189.745,189,745,398,#0000ff,0,0,0
397,.,27,-1,398,#0000ff,0,0,0
25,127.6285,127,6285,397,#0000ff,0,0,0
339,.,57,-1,397,#0000ff,0,0,0
42,186.4514,186,4514,339,#5500aa,0.2,0.0,0.0
281,.,394,-1,339,#0000ff,0,0,0
110,403.2882,403,2882,281,#0000ff,0,0,0
150,565.8608,565,8608,281,#0000ff,0,0,0
369,.,41,-1,397,#0000ff,0,0,0
13,96.1289,96,1289,369,#0000ff,0,0,0
102,346.2517,346,2517,369,#0000ff,0,0,0
386,.,34,-1,397,#0000ff,0,0,0
127,491.6180,491,6180,386,#0000ff,0,0,0
383,.,35,-1,386,#0000ff,0,0,0
15,101.5167,101,5167,383,#0000ff,0,0,0
319,.,180,-1,383,#0000ff,0,0,0
43,188.2001,188,2001,319,#0000ff,0,0,0
310,.,278,-1,319,#5500aa,0.2,0.0,0.0
94,309.9635,309,9635,310,#5500aa,0.2,0.0,0.0
114,422.551,422,551,310,#5500aa,0.2,0.0,0.0
380,.,36,-1,383,#0000ff,0,0,0
353,.,50,-1,380,#0000ff,0,0,0
20,115.2179,115,2179,353,#0000ff,0,0,0
73,250.2427,250,2427,353,#0000ff,0,0,0
371,.,39,-1,380,#0000ff,0,0,0
83,270.6662,270,6662,371,#0000ff,0,0,0
368,.,41,-1,371,#0000ff,0,0,0
51,198.7480,198,7480,368,#0000ff,0,0,0
351,.,51,-1,368,#0000ff,0,0,0
75,253.3271,253,3271,351,#0000ff,0,0,0
316,.,219,-1,351,#0000ff,0,0,0
69,245.657,245,657,316,#0000ff,0,0,0
292,.,349,-1,316,#0000ff,0,0,0
263,.,461,-1,292,#0000ff,0,0,0
132,513.3916,513,3916,263,#0000ff,0,0,0
232,.,559,-1,263,#0000ff,0,0,0
152,570.2766,570,2766,232,#0000ff,0,0,0
174,633.575,633,575,232,#0000ff,0,0,0
280,.,394,-1,292,#0000ff,0,0,0
158,589.6496,589,6496,280,#0000ff,0,0,0
235,.,539,-1,280,#0000ff,0.0,0.0,0.2
144,553.1740,553,1740,235,#0000ff,0.0,0.0,0.2
161,592.7047,592,7047,235,#0000ff,0.0,0.0,0.2
388,.,33,-1,397,#0000ff,0,0,0
2,61.8502,61,8502,388,#0000ff,0,0,0
385,.,34,-1,388,#0000ff,0,0,0
18,110.325,110,325,385,#0000ff,0,0,0
31,146.6197,146,6197,18,#0000ff,0,0,0
346,.,52,-1,385,#0000ff,0,0,0
10,87.9448,87,9448,346,#0000ff,0,0,0
63,228.4334,228,4334,346,#0000ff,0,0,0
378,.,37,-1,385,#0000ff,0,0,0
53,200.7478,200,7478,378,#0000ff,0,0,0
306,.,302,-1,378,#5500aa,0.2,0.0,0.0
106,378.2895,378,2895,306,#5500aa,0.2,0.0,0.0
125,484.6849,484,6849,306,#5500aa,0.2,0.0,0.0
392,.,31,-1,397,#0000ff,0,0,0
372,.,39,-1,392,#0000ff,0,0,0
356,.,48,-1,372,#0000ff,0,0,0
312,.,277,-1,356,#0000ff,0,0,0
285,.,364,-1,312,#5500aa,0.2,0.0,0.0
121,464.7539,464,7539,285,#5500aa,0.2,0.0,0.0
279,.,397,-1,285,#5500aa,0.2,0.0,0.0
116,431.544,431,544,279,#5500aa,0.2,0.0,0.0
167,610.3077,610,3077,279,#5500aa,0.2,0.0,0.0
308,.,294,-1,312,#0000ff,0,0,0
286,.,363,-1,308,#0000ff,0,0,0
105,377.1519,377,1519,286,#0000ff,0,0,0
113,419.7206,419,7206,286,#0000ff,0,0,0
307,.,296,-1,308,#0000ff,0,0,0
95,323.5450,323,5450,307,#0000ff,0,0,0
287,.,360,-1,307,#0000ff,0,0,0
233,.,554,-1,287,#0000ff,0,0,0
153,571.6732,571,6732,233,#0000ff,0,0,0
162,595.3315,595,3315,233,#0000ff,0,0,0
277,.,402,-1,287,#0000ff,0,0,0
119,441.9610,441,9610,277,#0000ff,0,0,0
276,.,403,-1,277,#0000ff,0,0,0
133,523.3343,523,3343,276,#0000ff,0,0,0
175,636.1245,636,1245,276,#5500aa,0.2,0.0,0.0
348,.,52,-1,356,#0000ff,0,0,0
21,115.6636,115,6636,348,#0000ff,0,0,0
62,223.4245,223,4245,348,#0000ff,0,0,0
357,.,48,-1,372,#0000ff,0,0,0
77,254.8800,254,8800,357,#0000ff,0,0,0
305,.,305,-1,357,#5500aa,0.2,0.0,0.0
266,.,439,-1,305,#aa0055,0.4,0.0,0.0
185,669.6657,669,6657,266,#aa0055,0.4,0.0,0.0
264,.,450,-1,266,#aa0055,0.4,0.0,0.0
261,.,466,-1,264,#aa0055,0.4,0.0,0.0
145,557.1770,557,1770,261,#aa0055,0.4,0.0,0.0
194,685.6257,685,6257,261,#aa0055,0.4,0.0,0.0
262,.,463,-1,264,#aa0055,0.4,0.0,0.0
166,601.2307,601,2307,262,#aa0055,0.4,0.0,0.0
260,.,466,-1,262,#aa0055,0.4,0.0,0.0
173,632.7532,632,7532,260,#aa0055,0.4,0.0,0.0
257,.,480,-1,260,#aa0055,0.4,0.0,0.0
238,.,532,-1,257,#aa0055,0.4,0.0,0.0
139,540.938,540,938,238,#aa0055,0.4,0.0,0.0
159,592.6431,592,6431,238,#aa0055,0.4,0.0,0.0
256,.,483,-1,257,#aa0055,0.4,0.0,0.0
240,.,530,-1,256,#aa0055,0.4,0.0,0.0
140,541.2439,541,2439,240,#aa0055,0.4,0.0,0.0
149,562.8802,562,8802,140,#aa0055,0.4,0.0,0.0
