node_id,name,node_time,subpop_id,parent_id,color_trait_1,transmissibility_1
0,1.46995,1,46995,-1,#0000ff,0.0
7476,.,2,-1,0,#0000ff,0.0
7473,.,11,-1,7476,#0000ff,0.0
7464,.,16,-1,7473,#0000ff,0.0
7346,.,29,-1,7464,#0000ff,0.0
6793,.,41,-1,7346,#0000ff,0.0
5697,.,50,-1,6793,#0000ff,0.0
321,114.98241,114,98241,5697,#0000ff,0.0
3919,.,487,-1,5697,#1200ed,0.01
2805,540.10124,540,10124,3919,#1200ed,0.01
3881,727.29424,727,29424,3919,#1200ed,0.01
6300,.,45,-1,6793,#0000ff,0.0
5246,.,54,-1,6300,#0000ff,0.0
769,188.73821,188,73821,5246,#0000ff,0.0
991,229.79830,229,79830,5246,#0000ff,0.0
2820,542.92817,542,92817,991,#0000ff,0.0
5721,.,50,-1,6300,#0000ff,0.0
4988,.,56,-1,5721,#0000ff,0.0
2459,482.38568,482,38568,4988,#2400db,0.02
4258,.,148,-1,4988,#0000ff,0.0
1010,232.87634,232,87634,4258,#0000ff,0.0
1452,306.84435,306,84435,4258,#0000ff,0.0
5476,.,52,-1,5721,#0000ff,0.0
1346,289.820,289,820,5476,#0000ff,0.0
1922,390.39167,390,39167,5476,#2400db,0.02
7176,.,35,-1,7346,#0000ff,0.0
6706,.,42,-1,7176,#0000ff,0.0
4645,.,62,-1,6706,#0000ff,0.0
560,155.78302,155,78302,4645,#0000ff,0.0
3351,639.45464,639,45464,4645,#2400db,0.02
6004,.,47,-1,6706,#0000ff,0.0
1967,398.15944,398,15944,6004,#0000ff,0.0
3568,678.28608,678,28608,6004,#0000ff,0.0
6772,.,41,-1,7176,#0000ff,0.0
6356,.,45,-1,6772,#0000ff,0.0
5846,.,49,-1,6356,#0000ff,0.0
5179,.,54,-1,5846,#0000ff,0.0
403,128.32435,128,32435,5179,#0000ff,0.0
3859,724.40763,724,40763,5179,#0000ff,0.0
5567,.,51,-1,5846,#0000ff,0.0
3513,669.10121,669,10121,5567,#0000ff,0.0
4518,.,67,-1,5567,#0000ff,0.0
198,96.59276,96,59276,4518,#0000ff,0.0
3751,707.61963,707,61963,198,#0000ff,0.0
351,119.22969,119,22969,4518,#0000ff,0.0
6109,.,47,-1,6356,#0000ff,0.0
1022,234.60555,234,60555,6109,#0000ff,0.0
3860,724.84899,724,84899,6109,#92006d,0.08
6438,.,44,-1,6772,#0000ff,0.0
184,94.62717,94,62717,6438,#0000ff,0.0
6056,.,47,-1,6438,#0000ff,0.0
4278,.,140,-1,6056,#0000ff,0.0
1564,327.53291,327,53291,4278,#2400db,0.02
2622,508.16311,508,16311,4278,#2400db,0.02
