node_id,name,node_time,subpop_id,parent_id,color_trait_1,transmissibility_1,drug_resistance_1,drug_resistance_2
0,1.7718,1,7718,-1,#0000ff,0,0,0
484,.,21,-1,0,#0000ff,0,0,0
387,.,197,-1,484,#0000ff,0,0,0
119,395.2409,395,2409,387,#0000ff,0.0,0.0,0.2
381,.,261,-1,387,#0000ff,0,0,0
118,390.278,390,278,381,#0000ff,0,0,0
380,.,274,-1,381,#0000ff,0,0,0
107,332.2833,332,2833,380,#0000ff,0,0,0
114,366.13,366,13,380,#0000ff,0,0,0
483,.,33,-1,484,#0000ff,0,0,0
385,.,211,-1,483,#0000ff,0,0,0
81,254.9521,254,9521,385,#0000ff,0,0,0
84,255.6564,255,6564,385,#0000ff,0,0,0
399,.,76,-1,483,#0000ff,0,0,0
97,294.7198,294,7198,399,#0000ff,0,0,0
120,397.6456,397,6456,399,#4000bf,0.2,0.0,0.0
482,.,36,-1,483,#0000ff,0,0,0
467,.,44,-1,482,#0000ff,0,0,0
334,.,437,-1,467,#4000bf,0.2,0.0,0.2
138,495.3024,495,3024,334,#4000bf,0.2,0.0,0.2
326,.,471,-1,334,#4000bf,0.2,0.0,0.2
152,551.6376,551,6376,326,#4000bf,0.2,0.0,0.2
316,.,496,-1,326,#4000bf,0.2,0.0,0.2
267,.,605,-1,316,#4000bf,0.2,0.0,0.2
191,614.7339,614,7339,267,#4000bf,0.2,0.0,0.2
202,636.5388,636,5388,267,#80007f,0.4,0.0,0.2
313,.,501,-1,316,#4000bf,0.2,0.0,0.2
141,522.6188,522,6188,313,#4000bf,0.2,0.0,0.2
311,.,503,-1,313,#4000bf,0.2,0.0,0.2
168,575.8753,575,8753,311,#4000bf,0.2,0.0,0.2
309,.,507,-1,311,#4000bf,0.2,0.0,0.2
292,.,546,-1,309,#4000bf,0.2,0.0,0.2
175,585.328,585,328,292,#4000bf,0.2,0.0,0.2
184,601.8517,601,8517,175,#4000bf,0.2,0.0,0.2
274,.,589,-1,292,#4000bf,0.2,0.0,0.2
205,640.3395,640,3395,274,#4000bf,0.2,0.0,0.2
223,674.6055,674,6055,274,#4000bf,0.2,0.0,0.2
302,.,519,-1,309,#4000bf,0.2,0.0,0.2
285,.,554,-1,302,#4000bf,0.2,0.0,0.2
176,586.6293,586,6293,285,#4000bf,0.2,0.0,0.2
193,616.8209,616,8209,285,#4000bf,0.2,0.0,0.4
293,.,543,-1,302,#80007f,0.4,0.0,0.2
278,.,571,-1,293,#80007f,0.4,0.0,0.2
229,683.3939,683,3939,278,#80007f,0.4,0.0,0.2
264,.,609,-1,278,#80007f,0.4,0.0,0.2
